"Aaron, Jeff",Two Weeks Notice  ,2002,Groomsman
"Antoon, Jason",Two Weeks Notice  ,2002,Norman
"Aronson, Ian",Catch Me If You Can  ,2002,Bellboy
"Ashton-Griffiths, Roger",Gangs of New York  ,2002,P.T.Barnum
"Astin, Sean","Lord of the Rings: The Two Towers, The  ",2002,Samwise 'Sam' Gamgee
"Baldridge, Mike",Catch Me If You Can  ,2002,Terry
"Bayler, Terence",Harry Potter and the Chamber of Secrets  ,2002,The Bloody Baron
"Bean, Sean","Lord of the Rings: The Two Towers, The  ",2002,Boromir
"Belford, Tom",About Schmidt  ,2002,NULL
"Biggerstaff, Sean",Harry Potter and the Chamber of Secrets  ,2002,Oliver Wood
"Billa, Salvatore",Gangs of New York  ,2002,Native
"Billings, Earl",Antwone Fisher  ,2002,James
"Bloom, Orlando","Lord of the Rings: The Two Towers, The  ",2002,Legolas Greenleaf 'Prince Of Mirkwood'
"Boe, Beverly",About Schmidt  ,2002,NULL
"Boe, Robert",About Schmidt  ,2002,NULL
"Boyd, Billy","Lord of the Rings: The Two Towers, The  ",2002,Peregrin 'Pippin' Took
"Bradley, David (IV)",Harry Potter and the Chamber of Secrets  ,2002,Groundskeeper Argus Filch
"Branagh, Kenneth",Harry Potter and the Chamber of Secrets  ,2002,Gilderoy Lockhart
"Brent, Jonathan",Catch Me If You Can  ,2002,Dr. Ashland
"Broadbent, Jim",Gangs of New York  ,2002,Boss Tweed
"Brosnan, Pierce",Die Another Day  ,2002,James Bond
"Brown, J. Anthony",Drumline  ,2002,Mr. Wade
"Burke, Alfred",Harry Potter and the Chamber of Secrets  ,2002,Headmaster Armando Dippet
"Burnett, Tyreese",Drumline  ,2002,Henry
"Byrne, Gerry Robert",Gangs of New York  ,2002,Draft Official
"Calamia, Marc",Chicago  ,2002,Hunyank's Husband
"Cannon, Nick",Drumline  ,2002,Devon
"Cariou, Len",About Schmidt  ,2002,Ray
"Carney, Liam",Gangs of New York  ,2002,Fuzzy
"Carroll, Brandon (III)",Drumline  ,2002,Press Photographer
"Carroll, Jeremy",Drumline  ,2002,Press Photographer
"Cleese, John",Harry Potter and the Chamber of Secrets  ,2002,Nearly Headless Nick
"Cleese, John",Die Another Day  ,2002,Q
"Cleveland, Rob",Drumline  ,2002,Music Professor
"Coltrane, Robbie",Harry Potter and the Chamber of Secrets  ,2002,Hagrid
"Connolly, Kevin (I)",Antwone Fisher  ,2002,Slim
"Coulson, Christian",Harry Potter and the Chamber of Secrets  ,2002,Tom Marvolo Riddle
"Coulter, Von",Drumline  ,2002,"Devon Miles, Sr."
"Crawley, James (I)",About Schmidt  ,2002,Dave Godberson
"Dankner, Jonathan",Catch Me If You Can  ,2002,Student
"Datig, Fred",Catch Me If You Can  ,2002,Co-Pilot
"Davis, Kyle (II)",Catch Me If You Can  ,2002,Kid
"Davis, Warwick",Harry Potter and the Chamber of Secrets  ,2002,Professor Filius Flitwick
"Day-Lewis, Daniel",Gangs of New York  ,2002,Bill the Butcher
"De Paul, Vincent",Maid in Manhattan  ,2002,Photographer
"De Sica, Brando",Gangs of New York  ,2002,NULL
"DiCaprio, Leonardo",Catch Me If You Can  ,2002,"Frank Abagnale, Jr."
"DiCaprio, Leonardo",Gangs of New York  ,2002,Amsterdam Vallon
"Diggs, Taye",Chicago  ,2002,The Band Leader
"Dorsey, Omar J.",Drumline  ,2002,Bertrum
"Dourif, Brad","Lord of the Rings: The Two Towers, The  ",2002,Grima Wormtongue
"Duke, O.L.",Antwone Fisher  ,2002,Uncle Duke
"DuMont, James",Catch Me If You Can  ,2002,FBI Agent #2
"Echevarria, Emilio",Die Another Day  ,2002,Raul
"Edelman, Shane",Catch Me If You Can  ,2002,Dr. Harris
"Eigeman, Chris",Maid in Manhattan  ,2002,John Bextram
"Ellis, Chris (I)",Catch Me If You Can  ,2002,Agent Witkins
"Enoch, Alfred",Harry Potter and the Chamber of Secrets  ,2002,Dean Thomas
"Ewing, Joel",Catch Me If You Can  ,2002,Party Guy
"Felton, Tom",Harry Potter and the Chamber of Secrets  ,2002,Draco Malfoy
"Feore, Colm",Chicago  ,2002,Martin Harrison
"Fern, Scott",Harry Potter and the Chamber of Secrets  ,2002,Marcus Flint
"Feuerstein, Mark",Two Weeks Notice  ,2002,NULL
"Fiennes, Ralph",Maid in Manhattan  ,2002,Christopher Marshall
"Finn, John",Catch Me If You Can  ,2002,NULL
